#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


非洲,#genre#
[BD]ton tv,https://stream1.freetv.fun/ton-tv-1.m3u8
[SD]cape town tv (576p),https://stream1.freetv.fun/cape-town-tv-2.m3u8
[HD]tvku,https://stream1.freetv.fun/tvku-2.m3u8
加拿大,#genre#
[HD]tele m1,https://stream1.freetv.fun/tele-m1-1.m3u8
[VGA]pmi tv (720p) [not 24/7],https://stream1.freetv.fun/pmi-tv-1.m3u8
[HD]sampit tv,https://stream1.freetv.fun/sampit-tv-1.m3u8
[HD]ช่อง cp 24,https://stream1.freetv.fun/ch-ng-cp-24-2.m3u8
[HD]ช่อง ctv drama channel,https://stream1.freetv.fun/ch-ng-ctv-drama-channel-1.m3u8
[HD]ctv news channel,https://stream1.freetv.fun/ctv-news-channel-1.ctv
[HD]ช่อง ctv news channel,https://stream1.freetv.fun/ch-ng-ctv-news-channel-1.m3u8
[BD]haiti news channel,https://stream1.freetv.fun/haiti-news-channel-1.m3u8
[BD]cbn news channel,https://stream1.freetv.fun/cbn-news-channel-1.m3u8
[SD]citytv,https://stream1.freetv.fun/citytv-1.m3u8
[BD]fnx,https://stream1.freetv.fun/fnx-3.m3u8
[HD]fx ==,https://stream1.freetv.fun/fx-8.ctv
[HD]fx ==,https://stream1.freetv.fun/fx-10.ctv
[HD]ช่อง fox sports racing,https://stream1.freetv.fun/ch-ng-fox-sports-racing-1.m3u8
[HD]global tv,https://stream1.freetv.fun/global-tv-2.m3u8
[VGA]global tv,https://stream1.freetv.fun/global-tv-4.m3u8
[HD]global news,https://stream1.freetv.fun/global-news-8.m3u8
[HD]global news,https://stream1.freetv.fun/global-news-9.m3u8
[HD]ช่อง global news,https://stream1.freetv.fun/ch-ng-global-news-1.m3u8
[HD]global news,https://stream1.freetv.fun/global-news-4.m3u8
[HD]ca global news kingston,https://stream1.freetv.fun/ca-global-news-kingston-1.ctv
[HD]global news,https://stream1.freetv.fun/global-news-3.m3u8
[HD]icnet 1,https://stream1.freetv.fun/icnet-1-1.m3u8
[HD]icnet 3,https://stream1.freetv.fun/icnet-3-1.m3u8
[HD]icnet 2,https://stream1.freetv.fun/icnet-2-1.m3u8
[HD]fanduel sports network,https://stream1.freetv.fun/fanduel-sports-network-2.m3u8
[HD]ช่อง nbc sports network,https://stream1.freetv.fun/ch-ng-nbc-sports-network-2.m3u8
[HD]ช่อง cbs sports network,https://stream1.freetv.fun/ch-ng-cbs-sports-network-2.m3u8
[SD]us root sports network,https://stream1.freetv.fun/us-root-sports-network-1.ctv
[HD]fanduel sports network,https://stream1.freetv.fun/fanduel-sports-network-1.m3u8
[SD]fanduel sports network socal,https://stream1.freetv.fun/fanduel-sports-network-socal-1.m3u8
[SD]fanduel sports network detroit,https://stream1.freetv.fun/fanduel-sports-network-detroit-1.m3u8
[SD]fanduel sports network florida,https://stream1.freetv.fun/fanduel-sports-network-florida-1.m3u8
[VGA]fanduel sports network sun,https://stream1.freetv.fun/fanduel-sports-network-sun-1.m3u8
[SD]fanduel sports network ohio,https://stream1.freetv.fun/fanduel-sports-network-ohio-1.m3u8
[HD]fanduel sports network north,https://stream1.freetv.fun/fanduel-sports-network-north-1.m3u8
[HD]fanduel sports network detroit,https://stream1.freetv.fun/fanduel-sports-network-detroit-2.m3u8
[HD]ช่อง sportsnet one,https://stream1.freetv.fun/ch-ng-sportsnet-one-1.m3u8
[HD]ช่อง sportsnet,https://stream1.freetv.fun/ch-ng-sportsnet-1.m3u8
[HD]ช่อง sportsnet 360,https://stream1.freetv.fun/ch-ng-sportsnet-360-1.m3u8
[HD]sportsnet pacific,https://stream1.freetv.fun/sportsnet-pacific-5.m3u8
[HD]ช่อง sportsnet pacific,https://stream1.freetv.fun/ch-ng-sportsnet-pacific-1.m3u8
[HD]sportsnet pacific,https://stream1.freetv.fun/sportsnet-pacific-3.ctv
[HD]sportsnet west,https://stream1.freetv.fun/sportsnet-west-4.m3u8
[BD]sportsnet west ==,https://stream1.freetv.fun/sportsnet-west-3.ctv
[BD]sportsnet west =,https://stream1.freetv.fun/sportsnet-west-2.ctv
[HD]sportsnet east--,https://stream1.freetv.fun/sportsnet-east-1.ctv
[HD]sportsnet east-,https://stream1.freetv.fun/sportsnet-east-3.ctv
[HD]ca sportsnet ontario,https://stream1.freetv.fun/ca-sportsnet-ontario-1.ctv
[VGA]sportsnet ontario--,https://stream1.freetv.fun/sportsnet-ontario-1.ctv
[HD]sportsnet ontario ==,https://stream1.freetv.fun/sportsnet-ontario-6.ctv
[HD]sportsnet ontario,https://stream1.freetv.fun/sportsnet-ontario-4.m3u8
[HD]ช่อง sportsnet ontario,https://stream1.freetv.fun/ch-ng-sportsnet-ontario-1.m3u8
[BD]ca tsn 3,https://stream1.freetv.fun/ca-tsn-3-1.ctv
[BD]tsn 3 ==,https://stream1.freetv.fun/tsn-3-1.ctv
[BD]tsn 3 =,https://stream1.freetv.fun/tsn-3-2.ctv
[HD]ช่อง tsn 3,https://stream1.freetv.fun/ch-ng-tsn-3-1.m3u8
[HD]tsn5,https://stream1.freetv.fun/tsn5-1.m3u8
[HD]ca tsn 5,https://stream1.freetv.fun/ca-tsn-5-1.ctv
[HD]gtn canada,https://stream1.freetv.fun/gtn-canada-1.m3u8
[HD]gtn canada,https://stream1.freetv.fun/gtn-canada-2.m3u8
[SD]gtn canada (1080i) [geo-blocked],https://stream1.freetv.fun/gtn-canada-3.m3u8
[VGA]tv5 kannada,https://stream1.freetv.fun/tv5-kannada-1.m3u8
[HD]tva,https://stream1.freetv.fun/tva-1.m3u8
[BD]tva,https://stream1.freetv.fun/tva-2.m3u8
[HD]tvo,https://stream1.freetv.fun/tvo-2.m3u8
[HD]tvo,https://stream1.freetv.fun/tvo-1.m3u8
[HD]ช่อง treehouse,https://stream1.freetv.fun/ch-ng-treehouse-2.m3u8
智利,#genre#
[BD]canal sur noticias,https://stream1.freetv.fun/canal-sur-noticias-1.m3u8
[BD]24/7 canal de noticias,https://stream1.freetv.fun/24-7-canal-de-noticias-1.m3u8
[BD]canale 21,https://stream1.freetv.fun/canale-21-1.m3u8
[BD]el pingüino tv,https://stream1.freetv.fun/el-pinguino-tv-4.m3u8
[HD]el pingüino tv,https://stream1.freetv.fun/el-pinguino-tv-1.m3u8
[VGA]el pingüino tv,https://stream1.freetv.fun/el-pinguino-tv-3.m3u8
[BD]mega tv chimbote,https://stream1.freetv.fun/mega-tv-chimbote-1.m3u8
[BD]q-music,https://stream1.freetv.fun/q-music-1.m3u8
[BD]music top,https://stream1.freetv.fun/music-top-1.m3u8
[VGA]rcg tv,https://stream1.freetv.fun/rcg-tv-2.m3u8
[BD]rcg tv,https://stream1.freetv.fun/rcg-tv-1.m3u8
[BD]tvn5,https://stream1.freetv.fun/tvn5-2.m3u8
[BD]tvn,https://stream1.freetv.fun/tvn-5.m3u8
[BD]tvn 3,https://stream1.freetv.fun/tvn-3-1.m3u8
[BD]tvn,https://stream1.freetv.fun/tvn-4.ctv
[HD]ucv,https://stream1.freetv.fun/ucv-1.m3u8
中國大陸,#genre#
[BD]cctv-08,https://stream1.freetv.fun/cctv-08-1.ctv
[BD]cctv8k超高清,https://stream1.freetv.fun/cctv8kchao-gao-qing-1.m3u8
[BD]documentary plus,https://stream1.freetv.fun/documentary-plus-5.m3u8
[BD]cctv-11戏曲,https://stream1.freetv.fun/cctv-11xi-qu-6.m3u8
[BD]唐河一套,https://stream1.freetv.fun/tang-he-yi-tao-1.m3u8
[BD]cctv1,https://stream1.freetv.fun/cctv1-57.m3u8
[BD]cctv1,https://stream1.freetv.fun/cctv1-28.m3u8
[BD]cctv1,https://stream1.freetv.fun/cctv1-38.m3u8
[BD]cctv1,https://stream1.freetv.fun/cctv1-53.ctv
[BD]cctv1,https://stream1.freetv.fun/cctv1-25.m3u8
[HD]cctv1,https://stream1.freetv.fun/cctv1-37.m3u8
[BD]cctv10,https://stream1.freetv.fun/cctv10-70.m3u8
[BD]cctv10,https://stream1.freetv.fun/cctv10-79.m3u8
[BD]cctv10,https://stream1.freetv.fun/cctv10-56.ctv
[SD]cctv10,https://stream1.freetv.fun/cctv10-43.m3u8
[BD]cctv10,https://stream1.freetv.fun/cctv10-8.ctv
[BD]cctv10,https://stream1.freetv.fun/cctv10-12.m3u8
[BD]cctv-10,https://stream1.freetv.fun/cctv-10-25.ctv
[BD]cctv10-gq,https://stream1.freetv.fun/cctv10-gq-1.ctv
[BD]cctv10hd,https://stream1.freetv.fun/cctv10hd-2.m3u8
[BD]cctv10 8m1080,https://stream1.freetv.fun/cctv10-8m1080-2.m3u8
[BD]cctv10 *wj,https://stream1.freetv.fun/cctv10--wj-1.ctv
[BD]cctv10,https://stream1.freetv.fun/cctv10-59.m3u8
[BD]cctv10,https://stream1.freetv.fun/cctv10-41.m3u8
[HD]cctv10,https://stream1.freetv.fun/cctv10-24.m3u8
[HD]cctv10,https://stream1.freetv.fun/cctv10-89.m3u8
[BD]cctv10,https://stream1.freetv.fun/cctv10-20.m3u8
[BD]cctv11,https://stream1.freetv.fun/cctv11-70.ctv
[BD]cctv11,https://stream1.freetv.fun/cctv11-43.m3u8
[BD]cctv11,https://stream1.freetv.fun/cctv11-50.ctv
[BD]cctv11,https://stream1.freetv.fun/cctv11-49.m3u8
[BD]cctv11,https://stream1.freetv.fun/cctv11-17.m3u8
[BD]cctv11,https://stream1.freetv.fun/cctv11-72.m3u8
[SD]cctv11,https://stream1.freetv.fun/cctv11-21.m3u8
[BD]cctv-11,https://stream1.freetv.fun/cctv-11-21.ctv
[BD]cctv11hd,https://stream1.freetv.fun/cctv11hd-1.m3u8
[BD]cctv11 3.5m1080,https://stream1.freetv.fun/cctv11-3-5m1080-1.m3u8
[BD]cctv11 8m1080,https://stream1.freetv.fun/cctv11-8m1080-1.m3u8
[BD]cctv11 *wj,https://stream1.freetv.fun/cctv11--wj-1.ctv
[BD]cctv11,https://stream1.freetv.fun/cctv11-9.m3u8
[BD]cctv11,https://stream1.freetv.fun/cctv11-10.m3u8
[BD]cctv11,https://stream1.freetv.fun/cctv11-54.m3u8
[BD]cctv11,https://stream1.freetv.fun/cctv11-29.m3u8
[SD]cctv11,https://stream1.freetv.fun/cctv11-58.m3u8
[SD]cctv11,https://stream1.freetv.fun/cctv11-48.m3u8
[BD]cctv12,https://stream1.freetv.fun/cctv12-32.m3u8
[BD]cctv12,https://stream1.freetv.fun/cctv12-57.m3u8
[BD]cctv12,https://stream1.freetv.fun/cctv12-60.m3u8
[BD]cctv12,https://stream1.freetv.fun/cctv12-54.m3u8
[HD]cctv12,https://stream1.freetv.fun/cctv12-70.m3u8
[BD]cctv12,https://stream1.freetv.fun/cctv12-22.ctv
[VGA]cctv12,https://stream1.freetv.fun/cctv12-50.ctv
[HD]cctv12,https://stream1.freetv.fun/cctv12-6.m3u8
[SD]cctv12,https://stream1.freetv.fun/cctv12-58.m3u8
[BD]cctv12,https://stream1.freetv.fun/cctv12-79.m3u8
[BD]cctv12,https://stream1.freetv.fun/cctv12-46.m3u8
[SD]cctv-12,https://stream1.freetv.fun/cctv-12-20.ctv
[BD]cctv12hd,https://stream1.freetv.fun/cctv12hd-1.m3u8
[BD]cctv12-gq,https://stream1.freetv.fun/cctv12-gq-1.ctv
[BD]cctv12 2.5m1080,https://stream1.freetv.fun/cctv12-2-5m1080-2.m3u8
[BD]cctv12 8m1080,https://stream1.freetv.fun/cctv12-8m1080-1.m3u8
[BD]cctv12 *wj,https://stream1.freetv.fun/cctv12--wj-1.ctv
[BD]cctv12,https://stream1.freetv.fun/cctv12-71.m3u8
[BD]cctv12,https://stream1.freetv.fun/cctv12-9.ctv
[BD]cctv12,https://stream1.freetv.fun/cctv12-4.m3u8
[BD]cctv12,https://stream1.freetv.fun/cctv12-52.m3u8
[BD]cctv13-gq,https://stream1.freetv.fun/cctv13-gq-1.ctv
[BD]cctv13 4m1080,https://stream1.freetv.fun/cctv13-4m1080-2.m3u8
[BD]cctv13 *wj,https://stream1.freetv.fun/cctv13--wj-1.ctv
[HD]cctv-13新闻,https://stream1.freetv.fun/cctv-13xin-wen-4.m3u8
[BD]cctv13,https://stream1.freetv.fun/cctv13-49.m3u8
[HD]cctv13,https://stream1.freetv.fun/cctv13-78.m3u8
[HD]cctv13,https://stream1.freetv.fun/cctv13-11.m3u8
[BD]cctv13-新闻,https://stream1.freetv.fun/cctv13-xin-wen-8.m3u8
[BD]cctv13,https://stream1.freetv.fun/cctv13-50.m3u8
[SD]cctv13,https://stream1.freetv.fun/cctv13-36.m3u8
[BD]cctv13,https://stream1.freetv.fun/cctv13-71.ctv
[BD]cctv13,https://stream1.freetv.fun/cctv13-29.m3u8
[BD]cctv13,https://stream1.freetv.fun/cctv13-84.m3u8
[BD]cctv13,https://stream1.freetv.fun/cctv13-75.m3u8
[VGA]cctv13,https://stream1.freetv.fun/cctv13-39.ctv
[BD]cctv13,https://stream1.freetv.fun/cctv13-65.ctv
[BD]cctv13,https://stream1.freetv.fun/cctv13-4.m3u8
[SD]cctv-13,https://stream1.freetv.fun/cctv-13-17.ctv
[BD]cctv13,https://stream1.freetv.fun/cctv13-16.m3u8
[VGA]cctv13,https://stream1.freetv.fun/cctv13-23.m3u8
[BD]cctv13,https://stream1.freetv.fun/cctv13-81.m3u8
[BD]cctv13,https://stream1.freetv.fun/cctv13-22.m3u8
[BD]cctv14,https://stream1.freetv.fun/cctv14-57.m3u8
[BD]cctv14,https://stream1.freetv.fun/cctv14-47.m3u8
[BD]cctv14,https://stream1.freetv.fun/cctv14-3.m3u8
[SD]cctv-14,https://stream1.freetv.fun/cctv-14-4.ctv
[BD]cctv14hd,https://stream1.freetv.fun/cctv14hd-1.m3u8
[BD]cctv14-gq,https://stream1.freetv.fun/cctv14-gq-1.ctv
[BD]cctv14 8m1080,https://stream1.freetv.fun/cctv14-8m1080-2.m3u8
[BD]cctv14 2.5m1080,https://stream1.freetv.fun/cctv14-2-5m1080-1.m3u8
[BD]cctv14 *wj,https://stream1.freetv.fun/cctv14--wj-1.ctv
[BD]cctv14,https://stream1.freetv.fun/cctv14-26.ctv
[BD]cctv14,https://stream1.freetv.fun/cctv14-56.m3u8
[BD]cctv14,https://stream1.freetv.fun/cctv14-64.m3u8
[BD]cctv14,https://stream1.freetv.fun/cctv14-36.m3u8
[HD]cctv14,https://stream1.freetv.fun/cctv14-20.m3u8
[BD]cctv14,https://stream1.freetv.fun/cctv14-65.m3u8
[VGA]cctv14,https://stream1.freetv.fun/cctv14-75.ctv
[HD]cctv14,https://stream1.freetv.fun/cctv14-71.m3u8
[BD]cctv14,https://stream1.freetv.fun/cctv14-44.ctv
[BD]cctv15,https://stream1.freetv.fun/cctv15-51.m3u8
[HD]cctv15,https://stream1.freetv.fun/cctv15-61.m3u8
[BD]cctv15-gq,https://stream1.freetv.fun/cctv15-gq-1.ctv
[BD]cctv15 1.5m1080,https://stream1.freetv.fun/cctv15-1-5m1080-1.m3u8
[BD]cctv15 3.5m1080,https://stream1.freetv.fun/cctv15-3-5m1080-2.m3u8
[BD]cctv15 *wj,https://stream1.freetv.fun/cctv15--wj-1.ctv
[BD]cctv-15音乐,https://stream1.freetv.fun/cctv-15yin-le-3.m3u8
[BD]cctv15,https://stream1.freetv.fun/cctv15-79.m3u8
[HD]cctv15,https://stream1.freetv.fun/cctv15-2.m3u8
[BD]cctv15,https://stream1.freetv.fun/cctv15-46.m3u8
[BD]cctv15,https://stream1.freetv.fun/cctv15-38.m3u8
[SD]cctv-15,https://stream1.freetv.fun/cctv-15-17.ctv
[BD]cctv15hd,https://stream1.freetv.fun/cctv15hd-1.m3u8
[BD]cctv15,https://stream1.freetv.fun/cctv15-40.m3u8
[BD]cctv15,https://stream1.freetv.fun/cctv15-91.ctv
[BD]cctv15,https://stream1.freetv.fun/cctv15-81.ctv
[BD]cctv15,https://stream1.freetv.fun/cctv15-6.m3u8
[BD]cctv15,https://stream1.freetv.fun/cctv15-67.m3u8
[BD]cctv16,https://stream1.freetv.fun/cctv16-47.m3u8
[BD]cctv16,https://stream1.freetv.fun/cctv16-53.m3u8
[BD]cctv16,https://stream1.freetv.fun/cctv16-23.m3u8
[BD]cctv-16,https://stream1.freetv.fun/cctv-16-1.ctv
[BD]cctv16hd,https://stream1.freetv.fun/cctv16hd-1.m3u8
[BD]cctv16 奥林匹克,https://stream1.freetv.fun/cctv16-ao-lin-pi-ke-1.m3u8
[BD]cctv16,https://stream1.freetv.fun/cctv16-55.m3u8
[HD]cctv16,https://stream1.freetv.fun/cctv16-21.m3u8
[BD]cctv16,https://stream1.freetv.fun/cctv16-11.m3u8
[HD]cctv16,https://stream1.freetv.fun/cctv16-33.m3u8
[HD]cctv17,https://stream1.freetv.fun/cctv17-9.m3u8
[BD]cctv17,https://stream1.freetv.fun/cctv17-33.m3u8
[HD]cctv17,https://stream1.freetv.fun/cctv17-27.m3u8
[BD]cctv-17,https://stream1.freetv.fun/cctv-17-14.ctv
[BD]cctv17-gq,https://stream1.freetv.fun/cctv17-gq-1.ctv
[BD]cctv17hd,https://stream1.freetv.fun/cctv17hd-1.m3u8
[BD]cctv17 8m1080,https://stream1.freetv.fun/cctv17-8m1080-2.m3u8
[BD]cctv17 4m1080,https://stream1.freetv.fun/cctv17-4m1080-1.m3u8
[BD]cctv17,https://stream1.freetv.fun/cctv17-65.ctv
[BD]cctv17,https://stream1.freetv.fun/cctv17-20.m3u8
[HD]cctv2,https://stream1.freetv.fun/cctv2-42.m3u8
[BD]cctv2-gq,https://stream1.freetv.fun/cctv2-gq-1.ctv
[BD]cctv2 8m1080,https://stream1.freetv.fun/cctv2-8m1080-2.m3u8
[BD]cctv2 8m1080,https://stream1.freetv.fun/cctv2-8m1080-4.m3u8
[BD]cctv2 4m1080,https://stream1.freetv.fun/cctv2-4m1080-2.m3u8
[BD]cctv2 *wj,https://stream1.freetv.fun/cctv2--wj-1.ctv
[BD]cctv2,https://stream1.freetv.fun/cctv2-71.ctv
[BD]cctv2,https://stream1.freetv.fun/cctv2-63.m3u8
[BD]cctv2,https://stream1.freetv.fun/cctv2-53.ctv
[BD]cctv2,https://stream1.freetv.fun/cctv2-49.m3u8
[BD]cctv2,https://stream1.freetv.fun/cctv2-77.ctv
[BD]cctv2,https://stream1.freetv.fun/cctv2-19.m3u8
[BD]cctv2,https://stream1.freetv.fun/cctv2-17.m3u8
[BD]cctv2,https://stream1.freetv.fun/cctv2-44.m3u8
[HD]cctv2,https://stream1.freetv.fun/cctv2-35.m3u8
[HD]cctv2,https://stream1.freetv.fun/cctv2-27.m3u8
[BD]cctv2,https://stream1.freetv.fun/cctv2-55.m3u8
[SD]cctv2,https://stream1.freetv.fun/cctv2-51.m3u8
[BD]cctv3,https://stream1.freetv.fun/ipv6-cctv3-58.m3u8
[BD]cctv3,https://stream1.freetv.fun/cctv3-3.m3u8
[BD]cctv3,https://stream1.freetv.fun/cctv3-15.m3u8
[BD]cctv-03,https://stream1.freetv.fun/cctv-03-1.ctv
[BD]cctv3-gq,https://stream1.freetv.fun/cctv3-gq-1.ctv
[BD]cctv3 8m1080,https://stream1.freetv.fun/cctv3-8m1080-2.m3u8
[BD]cctv3 综艺,https://stream1.freetv.fun/cctv3-zong-yi-15.m3u8
[BD]cctv3 *wj,https://stream1.freetv.fun/cctv3--wj-1.ctv
[BD]cctv3,https://stream1.freetv.fun/cctv3-67.m3u8
[SD]cctv3,https://stream1.freetv.fun/cctv3-2.m3u8
[HD]cctv3,https://stream1.freetv.fun/cctv3-56.m3u8
[BD]cctv3,https://stream1.freetv.fun/cctv3-19.m3u8
